lemma,log_ratio,g_squared,p_value,p_value_fdr,register,relative_frequency
πρόχνυ,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ὄφελος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
οἰνόπεδος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
θυρεός,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
περίοιδα,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
περίμετρος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
Διόθεν,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ἀφροσύνη,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
παλαίφατος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
πειράζω,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
περιγίγνομαι,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
παλλακίς,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
Γίγας,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
Βρισεύς,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ῥίγιον,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
παραμυθέομαι,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
Αἵδης,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ῥυστάζω,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
πατροφονεύς,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
