,lemma,log_likelihood,relative_frequency,register,p_value,p_value_fdr
29620,ἑκατόμβη,62.599801231577054,0.00014664965002259198,Epic,2.5327903311909005e-15,2.1116359586325316e-13
33567,ῥεῖα,62.599801231577054,0.00014664965002259198,Epic,2.5327903311909005e-15,2.1116359586325316e-13
5694,εἴλω,62.599801231577054,0.00014664965002259198,Epic,2.5327903311909005e-15,2.1116359586325316e-13
12426,νῆσος,62.43810936226547,0.0003448248527558244,Epic,2.749508779892629e-15,2.2866860611937496e-13
18738,τέμνω,62.10119511048394,0.00021799272300655564,Epic,3.2625335387032708e-15,2.686946417313066e-13
32221,ὄλεθρος,61.102267035622816,0.0003963504054664648,Epic,5.418570878036984e-15,4.4302706678906734e-13
17367,στενάχω,61.03727473232311,0.0001664671702959152,Epic,5.6004347134532695e-15,4.567930472666981e-13
11968,ναιετάω,60.9079147118047,0.00014268614596792733,Epic,5.9807907646853926e-15,4.785905120421651e-13
17063,σμερδαλέος,60.9079147118047,0.00014268614596792733,Epic,5.9807907646853926e-15,4.785905120421651e-13
31851,ὀρέγω,60.9079147118047,0.00014268614596792733,Epic,5.9807907646853926e-15,4.785905120421651e-13
29575,ἐύς,60.9079147118047,0.00014268614596792733,Epic,5.9807907646853926e-15,4.785905120421651e-13
32891,ὑπερφίαλος,60.9079147118047,0.00014268614596792733,Epic,5.9807907646853926e-15,4.785905120421651e-13
12132,νεφεληγερέτα,60.9079147118047,0.00014268614596792733,Epic,5.9807907646853926e-15,4.785905120421651e-13
27971,ἐξεναρίζω,60.9079147118047,0.00014268614596792733,Epic,5.9807907646853926e-15,4.785905120421651e-13
10430,λούω,60.23180667544626,0.0001823211865145738,Epic,8.431860108012017e-15,6.699766028077435e-13
31485,ἵκω,59.39417353796213,0.00016250366624125058,Epic,1.2905060451220391e-14,1.0206154000312127e-12
340,Γερήνιος,59.21602819203235,0.00013872264191326267,Epic,1.4127839583521151e-14,1.106975097367147e-12
7257,θώραξ,59.21602819203235,0.00013872264191326267,Epic,1.4127839583521151e-14,1.106975097367147e-12
20575,χάζω,59.21602819203235,0.00013872264191326267,Epic,1.4127839583521151e-14,1.106975097367147e-12
21781,ἀκοντίζω,59.21602819203235,0.00013872264191326267,Epic,1.4127839583521151e-14,1.106975097367147e-12
13141,πέλω,59.006940340238025,0.0005826350960357032,Epic,1.571168150622708e-14,1.2282325803794005e-12
20193,φιλότης,58.641662244974206,0.0002497007554438728,Epic,1.891680717659574e-14,1.4753801984345373e-12
1560,Πύλος,57.752292227825635,0.00015854016218658592,Epic,2.9729340873629496e-14,2.297507897788778e-12
12884,οὐτάζω,57.524141672259994,0.00013475913785859802,Epic,3.338562874013696e-14,2.533789567768825e-12
29371,ἐυκνήμις,57.524141672259994,0.00013475913785859802,Epic,3.338562874013696e-14,2.533789567768825e-12
19833,φάλαγξ,57.524141672259994,0.00013475913785859802,Epic,3.338562874013696e-14,2.533789567768825e-12
17437,στιβαρός,57.524141672259994,0.00013475913785859802,Epic,3.338562874013696e-14,2.533789567768825e-12
30791,ἡγεμονεύω,57.524141672259994,0.00013475913785859802,Epic,3.338562874013696e-14,2.533789567768825e-12
25544,ἄρειος,57.524141672259994,0.00013475913785859802,Epic,3.338562874013696e-14,2.533789567768825e-12
31135,ἰδέ,57.524141672259994,0.00013475913785859802,Epic,3.338562874013696e-14,2.533789567768825e-12
24583,ἀτρεκής,57.524141672259994,0.00013475913785859802,Epic,3.338562874013696e-14,2.533789567768825e-12
1156,Μυρμιδόνες,57.029914479087246,0.00017439417840524451,Epic,4.292328912026196e-14,3.235880653522822e-12
18836,τίπτε,57.029914479087246,0.00017439417840524451,Epic,4.292328912026196e-14,3.235880653522822e-12
930,Λαερτιάδης,56.11169338014866,0.00015457665813192127,Epic,6.846868777441315e-14,5.150214694391358e-12
7348,κάμνω,55.96174489194938,0.00020213870678789704,Epic,7.389496896568388e-14,5.533784965750959e-12
11630,μογέω,55.83225515248764,0.0001307956338039334,Epic,7.892592450822446e-14,5.8586921462256354e-12
9053,κομάω,55.83225515248764,0.0001307956338039334,Epic,7.892592450822446e-14,5.8586921462256354e-12
20695,χαλκοχίτων,55.83225515248764,0.0001307956338039334,Epic,7.892592450822446e-14,5.8586921462256354e-12
29372,ἐυκτίμενος,55.83225515248764,0.0001307956338039334,Epic,7.892592450822446e-14,5.8586921462256354e-12
10109,λανθάνω,55.50560955039613,0.0004716569825050931,Epic,9.319269747475414e-14,6.90258121843097e-12
6530,ζώω,55.43216732842582,0.00017043067435057986,Epic,9.674034417356855e-14,7.1341261654272805e-12
8988,κοιμάω,55.43216732842582,0.00017043067435057986,Epic,9.674034417356855e-14,7.1341261654272805e-12
29320,ἐσθλός,55.0054065689214,0.0009076424285182044,Epic,1.20198729286343e-13,8.806508198297456e-12
22408,ἀμύνω,54.88923742767982,0.0004994015108877456,Epic,1.2751738878438445e-13,9.222940369578267e-12
31796,ὀνομάζω,54.65329147010729,0.00022591973111588492,Epic,1.437833049443329e-13,1.0377230467080436e-11
22617,ἀνέχω,54.261531742241985,0.00030915331626384253,Epic,1.755041647313231e-13,1.2612824781296296e-11
30393,ἕλκω,54.261531742241985,0.00030915331626384253,Epic,1.755041647313231e-13,1.2612824781296296e-11
30087,ἔντεα,54.14036863271529,0.00012683212974926874,Epic,1.8666660545096346e-13,1.3330122210779878e-11
9555,κυδάλιμος,54.14036863271529,0.00012683212974926874,Epic,1.8666660545096346e-13,1.3330122210779878e-11
5685,εἴκοσι,54.14036863271529,0.00012683212974926874,Epic,1.8666660545096346e-13,1.3330122210779878e-11
