line_urn,heat
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:140,36.18793289469429
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:141,-1.1212658877063533
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:142,50.75231227442281
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:143,-179.37500154090526
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:144,-17.01986255016323
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:145,-0.8391344568236498
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:146,-31.634254796300006
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:147,-64.27381992557122
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:148,-21.167018755496187
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:149,-25.013060338560972
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:150,16.70598963126829
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:151,-17.498691598823466
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:152,3.483461128448571
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:152,-6.727595326238118
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:153,-70.04134893809065
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:154,-81.10489921075956
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:155,-138.69554360427227
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:156,-221.0038023726062
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:157,-56.1098341592473
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:159,-25.078712672288265
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:160,-2.8983048182936053
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:161,24.789002674613815
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:162,-11.318105201040012
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:164,-6.015881597120345
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:165,-1.3570107984275739
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:166,0.9280254033645221
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:168,-3.36379766311906
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:169,31.195401545342317
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:170,43.35046639430566
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:171,-8.890066544196818
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:172,-9.000268415940079
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:173,-1.170381913339038
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:175,-0.2721437426698813
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:176,18.60633616029244
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:177,-32.275344296608104
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:178,-0.35376063080473824
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:180,-47.84067787547107
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:181,-2.803164719265883
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:183,-21.50492610098864
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:184,9.150781346533789
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:185,-14.813102612122107
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:186,-80.16795256813116
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:187,-64.94229086827445
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:188,-93.84936453007244
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:189,-8.847907102872954
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:190,-5.516354021798165
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:191,-57.184560273024005
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:192,153.49041277901213
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:193,-6.003810649612355
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:194,-7.307779142132087
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:195,-1.4982163552824468
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:196,12.910790495790526
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:197,-49.720758300632184
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:199,-4.485063550825413
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:200,-4.111308254923295
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:201,-11.361767481458157
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:202,-82.08125479147309
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:203,-25.85269495260803
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:204,-56.53004553001901
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:205,-4.929780832046227
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:206,-4.111308254923295
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:207,9.779102942684611
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:208,-43.44038834044602
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:209,6.467655407019412
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:210,-55.79112373206851
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:211,-7.044261648378403
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:212,-2.242531775412706
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:213,-0.03834872361690067
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:214,38.322031039271174
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:215,-0.605661488586913
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:216,-65.03342148696849
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:217,-63.32066831293336
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:218,11.207076536944868
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:219,-3.285174325634537
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:220,-15.759545492692988
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:221,6.1155352762465816
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:222,16.187460500776954
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:223,-3.581838640756162
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:224,-1.707728805314297
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:225,-1.68189883155953
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:226,-18.91059262634562
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:227,-4.4784804349922345
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:228,-4.349090458261792
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:229,-2.2425317754127065
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:230,1.5075359748524082
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:232,-17.424993054403636
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:233,-9.055536680471654
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:234,-28.065383601930037
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:235,-34.34744205050247
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:236,-53.69986179561064
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:237,-80.40149706807591
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:238,-124.87819777693262
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:239,-27.77754282856729
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:240,-417.36500137408694
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:241,-168.45852886260823
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:242,-15.682862213777518
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:243,2.898525483606449
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:244,-3.9266757456262327
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:245,-7.288228270091297
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:246,-163.21754047896079
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:247,-257.77941968086776
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:248,-13.489126351313166
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:249,-11.212658877063532
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:250,-13.568556763086564
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:251,-143.47591840001257
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:252,0.2557771650272782
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:253,-214.4779338192383
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:254,24.088285193160605
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:255,11.843519235838448
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:256,-13.455190652476238
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:257,-73.66006616020535
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:258,-14.596065940949543
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:259,-1.2453605130078407
